judging from previous posts this used to be a good place , but not any longer . [A] [O] [S]	[A] place [O] good [S] bad
sometimes i get bad food and bad service , sometimes i get good good and bad service . [A] [O] [S]	[A] food [O] bad [S] bad [SSEP] [A] service [O] bad [S] bad [SSEP] [A] good [O] good [S] good
sometimes i get bad food and bad service , sometimes i get good good and bad service . [O] [A] [S]	[O] bad [A] food [S] bad [SSEP] [O] bad [A] service [S] bad [SSEP] [O] good [A] good [S] good
sometimes i get bad food and bad service , sometimes i get good good and bad service . [O] [S] [A]	[O] bad [S] bad [A] food [SSEP] [O] bad [S] bad [A] service [SSEP] [O] good [S] good [A] good
sometimes i get bad food and bad service , sometimes i get good good and bad service . [A] [S] [O]	[A] food [S] bad [O] bad [SSEP] [A] service [S] bad [O] bad [SSEP] [A] good [S] good [O] good
sometimes i get bad food and bad service , sometimes i get good good and bad service . [S] [O] [A]	[S] bad [O] bad [A] food [SSEP] [S] bad [O] bad [A] service [SSEP] [S] good [O] good [A] good
and evaluated on those terms pastis is simply wonderful . [A] [O] [S]	[A] pastis [O] wonderful [S] good
and evaluated on those terms pastis is simply wonderful . [O] [A] [S]	[O] wonderful [A] pastis [S] good
and evaluated on those terms pastis is simply wonderful . [O] [S] [A]	[O] wonderful [S] good [A] pastis
and evaluated on those terms pastis is simply wonderful . [A] [S] [O]	[A] pastis [S] good [O] wonderful
and evaluated on those terms pastis is simply wonderful . [S] [O] [A]	[S] good [O] wonderful [A] pastis
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [A] [O] [S]	[A] raddichio [O] bitter [S] bad
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [O] [A] [S]	[O] bitter [A] raddichio [S] bad
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [O] [S] [A]	[O] bitter [S] bad [A] raddichio
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [A] [S] [O]	[A] raddichio [S] bad [O] bitter
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [S] [O] [A]	[S] bad [O] bitter [A] raddichio
my friend got the mushroom pizza which tasted better . [A] [O] [S]	[A] mushroom pizza [O] better [S] good
my friend got the mushroom pizza which tasted better . [O] [A] [S]	[O] better [A] mushroom pizza [S] good
my friend got the mushroom pizza which tasted better . [O] [S] [A]	[O] better [S] good [A] mushroom pizza
my friend got the mushroom pizza which tasted better . [A] [S] [O]	[A] mushroom pizza [S] good [O] better
my friend got the mushroom pizza which tasted better . [S] [O] [A]	[S] good [O] better [A] mushroom pizza
the sangria was pretty tasty and good on a hot muggy day . [A] [O] [S]	[A] sangria [O] tasty [S] good [SSEP] [A] sangria [O] good [S] good
the sangria was pretty tasty and good on a hot muggy day . [O] [A] [S]	[O] tasty [A] sangria [S] good [SSEP] [O] good [A] sangria [S] good
the sangria was pretty tasty and good on a hot muggy day . [O] [S] [A]	[O] tasty [S] good [A] sangria [SSEP] [O] good [S] good [A] sangria
the sangria was pretty tasty and good on a hot muggy day . [A] [S] [O]	[A] sangria [S] good [O] tasty [SSEP] [A] sangria [S] good [O] good
the sangria was pretty tasty and good on a hot muggy day . [S] [O] [A]	[S] good [O] tasty [A] sangria [SSEP] [S] good [O] good [A] sangria
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [A] [O] [S]	[A] place [O] small [S] ok
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [O] [A] [S]	[O] small [A] place [S] ok
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [O] [S] [A]	[O] small [S] ok [A] place
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [A] [S] [O]	[A] place [S] ok [O] small
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [S] [O] [A]	[S] ok [O] small [A] place
i started out with a bombay beer which was big enough for two . [A] [O] [S]	[A] bombay beer [O] big [S] good
i started out with a bombay beer which was big enough for two . [O] [A] [S]	[O] big [A] bombay beer [S] good
i started out with a bombay beer which was big enough for two . [O] [S] [A]	[O] big [S] good [A] bombay beer
i started out with a bombay beer which was big enough for two . [A] [S] [O]	[A] bombay beer [S] good [O] big
i started out with a bombay beer which was big enough for two . [S] [O] [A]	[S] good [O] big [A] bombay beer
service was slow , but the people were friendly . [A] [O] [S]	[A] service [O] slow [S] bad [SSEP] [A] people [O] friendly [S] good
service was slow , but the people were friendly . [O] [A] [S]	[O] slow [A] service [S] bad [SSEP] [O] friendly [A] people [S] good
service was slow , but the people were friendly . [O] [S] [A]	[O] slow [S] bad [A] service [SSEP] [O] friendly [S] good [A] people
service was slow , but the people were friendly . [A] [S] [O]	[A] service [S] bad [O] slow [SSEP] [A] people [S] good [O] friendly
service was slow , but the people were friendly . [S] [O] [A]	[S] bad [O] slow [A] service [SSEP] [S] good [O] friendly [A] people
the food is authentic italian - delicious ! [A] [O] [S]	[A] food [O] authentic italian [S] good [SSEP] [A] food [O] delicious [S] good
the food is authentic italian - delicious ! [O] [A] [S]	[O] authentic italian [A] food [S] good [SSEP] [O] delicious [A] food [S] good
the food is authentic italian - delicious ! [O] [S] [A]	[O] authentic italian [S] good [A] food [SSEP] [O] delicious [S] good [A] food
the food is authentic italian - delicious ! [A] [S] [O]	[A] food [S] good [O] authentic italian [SSEP] [A] food [S] good [O] delicious
the food is authentic italian - delicious ! [S] [O] [A]	[S] good [O] authentic italian [A] food [SSEP] [S] good [O] delicious [A] food
pizza is terrific , as is homemade pasta . [A] [O] [S]	[A] pizza [O] terrific [S] good [SSEP] [A] homemade pasta [O] terrific [S] good
pizza is terrific , as is homemade pasta . [O] [A] [S]	[O] terrific [A] pizza [S] good [SSEP] [O] terrific [A] homemade pasta [S] good
pizza is terrific , as is homemade pasta . [O] [S] [A]	[O] terrific [S] good [A] pizza [SSEP] [O] terrific [S] good [A] homemade pasta
pizza is terrific , as is homemade pasta . [A] [S] [O]	[A] pizza [S] good [O] terrific [SSEP] [A] homemade pasta [S] good [O] terrific
pizza is terrific , as is homemade pasta . [S] [O] [A]	[S] good [O] terrific [A] pizza [SSEP] [S] good [O] terrific [A] homemade pasta
ambience is delightful , service impeccable . [A] [O] [S]	[A] ambience [O] delightful [S] good [SSEP] [A] service [O] impeccable [S] good
ambience is delightful , service impeccable . [O] [A] [S]	[O] delightful [A] ambience [S] good [SSEP] [O] impeccable [A] service [S] good
ambience is delightful , service impeccable . [O] [S] [A]	[O] delightful [S] good [A] ambience [SSEP] [O] impeccable [S] good [A] service
ambience is delightful , service impeccable . [A] [S] [O]	[A] ambience [S] good [O] delightful [SSEP] [A] service [S] good [O] impeccable
ambience is delightful , service impeccable . [S] [O] [A]	[S] good [O] delightful [A] ambience [SSEP] [S] good [O] impeccable [A] service
i 'm still mad that i had to pay for lousy food . [A] [O] [S]	[A] food [O] lousy [S] bad
i 'm still mad that i had to pay for lousy food . [O] [A] [S]	[O] lousy [A] food [S] bad
i 'm still mad that i had to pay for lousy food . [O] [S] [A]	[O] lousy [S] bad [A] food
i 'm still mad that i had to pay for lousy food . [A] [S] [O]	[A] food [S] bad [O] lousy
i 'm still mad that i had to pay for lousy food . [S] [O] [A]	[S] bad [O] lousy [A] food
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [A] [O] [S]	[A] hanger steak [O] rubber [S] bad [SSEP] [A] tuna [O] flavorless [S] bad
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [O] [A] [S]	[O] rubber [A] hanger steak [S] bad [SSEP] [O] flavorless [A] tuna [S] bad
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [O] [S] [A]	[O] rubber [S] bad [A] hanger steak [SSEP] [O] flavorless [S] bad [A] tuna
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [A] [S] [O]	[A] hanger steak [S] bad [O] rubber [SSEP] [A] tuna [S] bad [O] flavorless
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [S] [O] [A]	[S] bad [O] rubber [A] hanger steak [SSEP] [S] bad [O] flavorless [A] tuna
service was also horrible and the ambience is not that great . [A] [O] [S]	[A] service [O] horrible [S] bad [SSEP] [A] ambience [O] not that great [S] bad
service was also horrible and the ambience is not that great . [O] [A] [S]	[O] horrible [A] service [S] bad [SSEP] [O] not that great [A] ambience [S] bad
service was also horrible and the ambience is not that great . [O] [S] [A]	[O] horrible [S] bad [A] service [SSEP] [O] not that great [S] bad [A] ambience
service was also horrible and the ambience is not that great . [A] [S] [O]	[A] service [S] bad [O] horrible [SSEP] [A] ambience [S] bad [O] not that great
service was also horrible and the ambience is not that great . [S] [O] [A]	[S] bad [O] horrible [A] service [SSEP] [S] bad [O] not that great [A] ambience
it 's a small cute restaurant . [A] [O] [S]	[A] restaurant [O] small cute [S] good
it 's a small cute restaurant . [O] [A] [S]	[O] small cute [A] restaurant [S] good
it 's a small cute restaurant . [O] [S] [A]	[O] small cute [S] good [A] restaurant
it 's a small cute restaurant . [A] [S] [O]	[A] restaurant [S] good [O] small cute
it 's a small cute restaurant . [S] [O] [A]	[S] good [O] small cute [A] restaurant
i absolutely love this place ! ! ! [A] [O] [S]	[A] place [O] love [S] good
i absolutely love this place ! ! ! [O] [A] [S]	[O] love [A] place [S] good
i absolutely love this place ! ! ! [O] [S] [A]	[O] love [S] good [A] place
i absolutely love this place ! ! ! [A] [S] [O]	[A] place [S] good [O] love
i absolutely love this place ! ! ! [S] [O] [A]	[S] good [O] love [A] place
we wo n't go to this place again for a good meal . [A] [O] [S]	[A] meal [O] good [S] bad
we wo n't go to this place again for a good meal . [O] [A] [S]	[O] good [A] meal [S] bad
we wo n't go to this place again for a good meal . [O] [S] [A]	[O] good [S] bad [A] meal
we wo n't go to this place again for a good meal . [A] [S] [O]	[A] meal [S] bad [O] good
we wo n't go to this place again for a good meal . [S] [O] [A]	[S] bad [O] good [A] meal
however , i think this place is a good hang out spot . [A] [O] [S]	[A] place [O] good [S] good
however , i think this place is a good hang out spot . [O] [A] [S]	[O] good [A] place [S] good
however , i think this place is a good hang out spot . [O] [S] [A]	[O] good [S] good [A] place
however , i think this place is a good hang out spot . [A] [S] [O]	[A] place [S] good [O] good
however , i think this place is a good hang out spot . [S] [O] [A]	[S] good [O] good [A] place
the pizza and wine were excellent -- the service too -- but what really made this place was the backyard dining area . [A] [O] [S]	[A] pizza [O] excellent [S] good [SSEP] [A] wine [O] excellent [S] good [SSEP] [A] service [O] excellent [S] good
the pizza and wine were excellent -- the service too -- but what really made this place was the backyard dining area . [O] [A] [S]	[O] excellent [A] pizza [S] good [SSEP] [O] excellent [A] wine [S] good [SSEP] [O] excellent [A] service [S] good
the pizza and wine were excellent -- the service too -- but what really made this place was the backyard dining area . [O] [S] [A]	[O] excellent [S] good [A] pizza [SSEP] [O] excellent [S] good [A] wine [SSEP] [O] excellent [S] good [A] service
the pizza and wine were excellent -- the service too -- but what really made this place was the backyard dining area . [A] [S] [O]	[A] pizza [S] good [O] excellent [SSEP] [A] wine [S] good [O] excellent [SSEP] [A] service [S] good [O] excellent
the pizza and wine were excellent -- the service too -- but what really made this place was the backyard dining area . [S] [O] [A]	[S] good [O] excellent [A] pizza [SSEP] [S] good [O] excellent [A] wine [SSEP] [S] good [O] excellent [A] service
it is one the nicest outdoor restaurants i have ever seen in ny -- i am from italy and this place rivals the ones in my country . [A] [O] [S]	[A] outdoor restaurants [O] nicest [S] good
it is one the nicest outdoor restaurants i have ever seen in ny -- i am from italy and this place rivals the ones in my country . [O] [A] [S]	[O] nicest [A] outdoor restaurants [S] good
it is one the nicest outdoor restaurants i have ever seen in ny -- i am from italy and this place rivals the ones in my country . [O] [S] [A]	[O] nicest [S] good [A] outdoor restaurants
it is one the nicest outdoor restaurants i have ever seen in ny -- i am from italy and this place rivals the ones in my country . [A] [S] [O]	[A] outdoor restaurants [S] good [O] nicest
it is one the nicest outdoor restaurants i have ever seen in ny -- i am from italy and this place rivals the ones in my country . [S] [O] [A]	[S] good [O] nicest [A] outdoor restaurants
