judging from previous posts this used to be a good place , but not any longer . [O] [A] [S]	[O] good [A] place [S] bad
sometimes i get bad food and bad service , sometimes i get good good and bad service . [S] [O] [A]	[S] bad [O] bad [A] food [SSEP] [S] bad [O] bad [A] service [SSEP] [S] good [O] good [A] good
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere . [O] [A] [S]	[O] simple [A] dishes [S] good [SSEP] [O] served efficiently [A] wine [S] good [SSEP] [O] bustling [A] atmosphere [S] good
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere . [A] [O] [S]	[A] dishes [O] simple [S] good [SSEP] [A] wine [O] served efficiently [S] good [SSEP] [A] atmosphere [O] bustling [S] good
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere . [O] [S] [A]	[O] simple [S] good [A] dishes [SSEP] [O] served efficiently [S] good [A] wine [SSEP] [O] bustling [S] good [A] atmosphere
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere . [A] [S] [O]	[A] dishes [S] good [O] simple [SSEP] [A] wine [S] good [O] served efficiently [SSEP] [A] atmosphere [S] good [O] bustling
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere . [S] [O] [A]	[S] good [O] simple [A] dishes [SSEP] [S] good [O] served efficiently [A] wine [SSEP] [S] good [O] bustling [A] atmosphere
and evaluated on those terms pastis is simply wonderful . [O] [A] [S]	[O] wonderful [A] pastis [S] good
and evaluated on those terms pastis is simply wonderful . [A] [O] [S]	[A] pastis [O] wonderful [S] good
and evaluated on those terms pastis is simply wonderful . [O] [S] [A]	[O] wonderful [S] good [A] pastis
and evaluated on those terms pastis is simply wonderful . [A] [S] [O]	[A] pastis [S] good [O] wonderful
and evaluated on those terms pastis is simply wonderful . [S] [O] [A]	[S] good [O] wonderful [A] pastis
right off the l in brooklyn this is a nice cozy place with good pizza . [O] [A] [S]	[O] good [A] pizza [S] good [SSEP] [O] nice cozy [A] place [S] good
right off the l in brooklyn this is a nice cozy place with good pizza . [A] [O] [S]	[A] pizza [O] good [S] good [SSEP] [A] place [O] nice cozy [S] good
right off the l in brooklyn this is a nice cozy place with good pizza . [O] [S] [A]	[O] good [S] good [A] pizza [SSEP] [O] nice cozy [S] good [A] place
right off the l in brooklyn this is a nice cozy place with good pizza . [A] [S] [O]	[A] pizza [S] good [O] good [SSEP] [A] place [S] good [O] nice cozy
right off the l in brooklyn this is a nice cozy place with good pizza . [S] [O] [A]	[S] good [O] good [A] pizza [SSEP] [S] good [O] nice cozy [A] place
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [O] [A] [S]	[O] bitter [A] raddichio [S] bad
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [A] [O] [S]	[A] raddichio [O] bitter [S] bad
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [O] [S] [A]	[O] bitter [S] bad [A] raddichio
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [A] [S] [O]	[A] raddichio [S] bad [O] bitter
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) . [S] [O] [A]	[S] bad [O] bitter [A] raddichio
my friend got the mushroom pizza which tasted better . [O] [A] [S]	[O] better [A] mushroom pizza [S] good
my friend got the mushroom pizza which tasted better . [A] [O] [S]	[A] mushroom pizza [O] better [S] good
my friend got the mushroom pizza which tasted better . [O] [S] [A]	[O] better [S] good [A] mushroom pizza
my friend got the mushroom pizza which tasted better . [A] [S] [O]	[A] mushroom pizza [S] good [O] better
my friend got the mushroom pizza which tasted better . [S] [O] [A]	[S] good [O] better [A] mushroom pizza
the sangria was pretty tasty and good on a hot muggy day . [O] [A] [S]	[O] tasty [A] sangria [S] good [SSEP] [O] good [A] sangria [S] good
the sangria was pretty tasty and good on a hot muggy day . [A] [O] [S]	[A] sangria [O] tasty [S] good [SSEP] [A] sangria [O] good [S] good
the sangria was pretty tasty and good on a hot muggy day . [O] [S] [A]	[O] tasty [S] good [A] sangria [SSEP] [O] good [S] good [A] sangria
the sangria was pretty tasty and good on a hot muggy day . [A] [S] [O]	[A] sangria [S] good [O] tasty [SSEP] [A] sangria [S] good [O] good
the sangria was pretty tasty and good on a hot muggy day . [S] [O] [A]	[S] good [O] tasty [A] sangria [SSEP] [S] good [O] good [A] sangria
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [O] [A] [S]	[O] small [A] place [S] ok
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [A] [O] [S]	[A] place [O] small [S] ok
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [O] [S] [A]	[O] small [S] ok [A] place
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [A] [S] [O]	[A] place [S] ok [O] small
kind of a small place but i guess if they are not too busy might be able to fit a group or kids . [S] [O] [A]	[S] ok [O] small [A] place
i started out with a bombay beer which was big enough for two . [O] [A] [S]	[O] big [A] bombay beer [S] good
i started out with a bombay beer which was big enough for two . [A] [O] [S]	[A] bombay beer [O] big [S] good
i started out with a bombay beer which was big enough for two . [O] [S] [A]	[O] big [S] good [A] bombay beer
i started out with a bombay beer which was big enough for two . [A] [S] [O]	[A] bombay beer [S] good [O] big
i started out with a bombay beer which was big enough for two . [S] [O] [A]	[S] good [O] big [A] bombay beer
service was slow , but the people were friendly . [O] [A] [S]	[O] slow [A] service [S] bad [SSEP] [O] friendly [A] people [S] good
service was slow , but the people were friendly . [A] [O] [S]	[A] service [O] slow [S] bad [SSEP] [A] people [O] friendly [S] good
service was slow , but the people were friendly . [O] [S] [A]	[O] slow [S] bad [A] service [SSEP] [O] friendly [S] good [A] people
service was slow , but the people were friendly . [A] [S] [O]	[A] service [S] bad [O] slow [SSEP] [A] people [S] good [O] friendly
service was slow , but the people were friendly . [S] [O] [A]	[S] bad [O] slow [A] service [SSEP] [S] good [O] friendly [A] people
it 's a nice place to relax and have conversation . [O] [A] [S]	[O] nice [A] place [S] good
it 's a nice place to relax and have conversation . [A] [O] [S]	[A] place [O] nice [S] good
it 's a nice place to relax and have conversation . [O] [S] [A]	[O] nice [S] good [A] place
it 's a nice place to relax and have conversation . [A] [S] [O]	[A] place [S] good [O] nice
it 's a nice place to relax and have conversation . [S] [O] [A]	[S] good [O] nice [A] place
pizza is terrific , as is homemade pasta . [O] [A] [S]	[O] terrific [A] pizza [S] good [SSEP] [O] terrific [A] homemade pasta [S] good
pizza is terrific , as is homemade pasta . [A] [O] [S]	[A] pizza [O] terrific [S] good [SSEP] [A] homemade pasta [O] terrific [S] good
pizza is terrific , as is homemade pasta . [O] [S] [A]	[O] terrific [S] good [A] pizza [SSEP] [O] terrific [S] good [A] homemade pasta
pizza is terrific , as is homemade pasta . [A] [S] [O]	[A] pizza [S] good [O] terrific [SSEP] [A] homemade pasta [S] good [O] terrific
pizza is terrific , as is homemade pasta . [S] [O] [A]	[S] good [O] terrific [A] pizza [SSEP] [S] good [O] terrific [A] homemade pasta
ambience is delightful , service impeccable . [O] [A] [S]	[O] delightful [A] ambience [S] good [SSEP] [O] impeccable [A] service [S] good
ambience is delightful , service impeccable . [A] [O] [S]	[A] ambience [O] delightful [S] good [SSEP] [A] service [O] impeccable [S] good
ambience is delightful , service impeccable . [O] [S] [A]	[O] delightful [S] good [A] ambience [SSEP] [O] impeccable [S] good [A] service
ambience is delightful , service impeccable . [A] [S] [O]	[A] ambience [S] good [O] delightful [SSEP] [A] service [S] good [O] impeccable
ambience is delightful , service impeccable . [S] [O] [A]	[S] good [O] delightful [A] ambience [SSEP] [S] good [O] impeccable [A] service
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [O] [A] [S]	[O] rubber [A] hanger steak [S] bad [SSEP] [O] flavorless [A] tuna [S] bad
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [A] [O] [S]	[A] hanger steak [O] rubber [S] bad [SSEP] [A] tuna [O] flavorless [S] bad
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [O] [S] [A]	[O] rubber [S] bad [A] hanger steak [SSEP] [O] flavorless [S] bad [A] tuna
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [A] [S] [O]	[A] hanger steak [S] bad [O] rubber [SSEP] [A] tuna [S] bad [O] flavorless
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed . [S] [O] [A]	[S] bad [O] rubber [A] hanger steak [SSEP] [S] bad [O] flavorless [A] tuna
service was also horrible and the ambience is not that great . [O] [A] [S]	[O] horrible [A] service [S] bad [SSEP] [O] not that great [A] ambience [S] bad
service was also horrible and the ambience is not that great . [A] [O] [S]	[A] service [O] horrible [S] bad [SSEP] [A] ambience [O] not that great [S] bad
service was also horrible and the ambience is not that great . [O] [S] [A]	[O] horrible [S] bad [A] service [SSEP] [O] not that great [S] bad [A] ambience
service was also horrible and the ambience is not that great . [A] [S] [O]	[A] service [S] bad [O] horrible [SSEP] [A] ambience [S] bad [O] not that great
service was also horrible and the ambience is not that great . [S] [O] [A]	[S] bad [O] horrible [A] service [SSEP] [S] bad [O] not that great [A] ambience
this is my first time writing a review for a restaurant because the food and service was excellent . [O] [A] [S]	[O] excellent [A] food [S] good [SSEP] [O] excellent [A] service [S] good
this is my first time writing a review for a restaurant because the food and service was excellent . [A] [O] [S]	[A] food [O] excellent [S] good [SSEP] [A] service [O] excellent [S] good
this is my first time writing a review for a restaurant because the food and service was excellent . [O] [S] [A]	[O] excellent [S] good [A] food [SSEP] [O] excellent [S] good [A] service
this is my first time writing a review for a restaurant because the food and service was excellent . [A] [S] [O]	[A] food [S] good [O] excellent [SSEP] [A] service [S] good [O] excellent
this is my first time writing a review for a restaurant because the food and service was excellent . [S] [O] [A]	[S] good [O] excellent [A] food [SSEP] [S] good [O] excellent [A] service
the filet mignon dish was superb ! [O] [A] [S]	[O] superb [A] filet mignon dish [S] good
the filet mignon dish was superb ! [A] [O] [S]	[A] filet mignon dish [O] superb [S] good
the filet mignon dish was superb ! [O] [S] [A]	[O] superb [S] good [A] filet mignon dish
the filet mignon dish was superb ! [A] [S] [O]	[A] filet mignon dish [S] good [O] superb
the filet mignon dish was superb ! [S] [O] [A]	[S] good [O] superb [A] filet mignon dish
it 's a small cute restaurant . [O] [A] [S]	[O] small cute [A] restaurant [S] good
it 's a small cute restaurant . [A] [O] [S]	[A] restaurant [O] small cute [S] good
it 's a small cute restaurant . [O] [S] [A]	[O] small cute [S] good [A] restaurant
it 's a small cute restaurant . [A] [S] [O]	[A] restaurant [S] good [O] small cute
it 's a small cute restaurant . [S] [O] [A]	[S] good [O] small cute [A] restaurant
i absolutely love this place ! ! ! [O] [A] [S]	[O] love [A] place [S] good
i absolutely love this place ! ! ! [A] [O] [S]	[A] place [O] love [S] good
i absolutely love this place ! ! ! [O] [S] [A]	[O] love [S] good [A] place
i absolutely love this place ! ! ! [A] [S] [O]	[A] place [S] good [O] love
i absolutely love this place ! ! ! [S] [O] [A]	[S] good [O] love [A] place
i like the ambience , it 's very dark and original . [O] [A] [S]	[O] like [A] ambience [S] good [SSEP] [O] dark [A] ambience [S] good [SSEP] [O] original [A] ambience [S] good
i like the ambience , it 's very dark and original . [A] [O] [S]	[A] ambience [O] like [S] good [SSEP] [A] ambience [O] dark [S] good [SSEP] [A] ambience [O] original [S] good
i like the ambience , it 's very dark and original . [O] [S] [A]	[O] like [S] good [A] ambience [SSEP] [O] dark [S] good [A] ambience [SSEP] [O] original [S] good [A] ambience
i like the ambience , it 's very dark and original . [A] [S] [O]	[A] ambience [S] good [O] like [SSEP] [A] ambience [S] good [O] dark [SSEP] [A] ambience [S] good [O] original
i like the ambience , it 's very dark and original . [S] [O] [A]	[S] good [O] like [A] ambience [SSEP] [S] good [O] dark [A] ambience [SSEP] [S] good [O] original [A] ambience
the sushi is amazing ! ! ! [O] [A] [S]	[O] amazing [A] sushi [S] good
the sushi is amazing ! ! ! [A] [O] [S]	[A] sushi [O] amazing [S] good
the sushi is amazing ! ! ! [O] [S] [A]	[O] amazing [S] good [A] sushi
the sushi is amazing ! ! ! [A] [S] [O]	[A] sushi [S] good [O] amazing
the sushi is amazing ! ! ! [S] [O] [A]	[S] good [O] amazing [A] sushi
my girlfriend and i stumbled onto this hopping place the other night and had a great time ! [O] [A] [S]	[O] hopping [A] place [S] good [SSEP] [O] great time [A] place [S] good
