but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady ) . [A] [O] [S]	[A] bar [O] great [S] good [SSEP] [A] bartenders [O] gorgeous [S] good
great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady ) . [A] [S] [O]	[A] bar [S] good [O] great [SSEP] [A] bartenders [S] good [O] gorgeous
great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady ) . [S] [O] [A]	[S] good [O] great [A] bar [SSEP] [S] good [O] gorgeous [A] bartenders
i really loved the different and inovated touch that 's the cheff gives to the food . [O] [A] [S]	[O] different [A] food [S] good [SSEP] [O] inovated [A] food [S] good
i really loved the different and inovated touch that 's the cheff gives to the food . [O] [S] [A]	[O] different [S] good [A] food [SSEP] [O] inovated [S] good [A] food
i really loved the different and inovated touch that 's the cheff gives to the food . [A] [O] [S]	[A] food [O] different [S] good [SSEP] [A] food [O] inovated [S] good
i really loved the different and inovated touch that 's the cheff gives to the food . [A] [S] [O]	[A] food [S] good [O] different [SSEP] [A] food [S] good [O] inovated
i really loved the different and inovated touch that 's the cheff gives to the food . [S] [O] [A]	[S] good [O] different [A] food [SSEP] [S] good [O] inovated [A] food
they came out over cooked and the cheese was almost non existant . [O] [A] [S]	[O] non existant [A] cheese [S] bad
they came out over cooked and the cheese was almost non existant . [O] [S] [A]	[O] non existant [S] bad [A] cheese
they came out over cooked and the cheese was almost non existant . [A] [O] [S]	[A] cheese [O] non existant [S] bad
they came out over cooked and the cheese was almost non existant . [A] [S] [O]	[A] cheese [S] bad [O] non existant
they came out over cooked and the cheese was almost non existant . [S] [O] [A]	[S] bad [O] non existant [A] cheese
i had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good . [O] [A] [S]	[O] terrific [A] meal [S] good [SSEP] [O] nice [A] wine [S] bad
i had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good . [O] [S] [A]	[O] terrific [S] good [A] meal [SSEP] [O] nice [S] bad [A] wine
i had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good . [A] [O] [S]	[A] meal [O] terrific [S] good [SSEP] [A] wine [O] nice [S] bad
i had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good . [A] [S] [O]	[A] meal [S] good [O] terrific [SSEP] [A] wine [S] bad [O] nice
i had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good . [S] [O] [A]	[S] good [O] terrific [A] meal [SSEP] [S] bad [O] nice [A] wine
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [O] [A] [S]	[O] rude [A] svc [S] bad
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [O] [S] [A]	[O] rude [S] bad [A] svc
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [A] [O] [S]	[A] svc [O] rude [S] bad
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [A] [S] [O]	[A] svc [S] bad [O] rude
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [S] [O] [A]	[S] bad [O] rude [A] svc
the food is good , especially their more basic dishes , and the drinks are delicious . [O] [A] [S]	[O] good [A] food [S] good [SSEP] [O] good [A] dishes [S] good [SSEP] [O] delicious [A] drinks [S] good
the food is good , especially their more basic dishes , and the drinks are delicious . [O] [S] [A]	[O] good [S] good [A] food [SSEP] [O] good [S] good [A] dishes [SSEP] [O] delicious [S] good [A] drinks
the food is good , especially their more basic dishes , and the drinks are delicious . [A] [O] [S]	[A] food [O] good [S] good [SSEP] [A] dishes [O] good [S] good [SSEP] [A] drinks [O] delicious [S] good
the food is good , especially their more basic dishes , and the drinks are delicious . [A] [S] [O]	[A] food [S] good [O] good [SSEP] [A] dishes [S] good [O] good [SSEP] [A] drinks [S] good [O] delicious
the food is good , especially their more basic dishes , and the drinks are delicious . [S] [O] [A]	[S] good [O] good [A] food [SSEP] [S] good [O] good [A] dishes [SSEP] [S] good [O] delicious [A] drinks
but the main hit was the whole grilled fish . [O] [A] [S]	[O] hit [A] whole grilled fish [S] good
but the main hit was the whole grilled fish . [O] [S] [A]	[O] hit [S] good [A] whole grilled fish
but the main hit was the whole grilled fish . [A] [O] [S]	[A] whole grilled fish [O] hit [S] good
but the main hit was the whole grilled fish . [A] [S] [O]	[A] whole grilled fish [S] good [O] hit
but the main hit was the whole grilled fish . [S] [O] [A]	[S] good [O] hit [A] whole grilled fish
on a hot day it was fabulous to stop in and enjoy lunch . [O] [A] [S]	[O] fabulous [A] lunch [S] good [SSEP] [O] enjoy [A] lunch [S] good
on a hot day it was fabulous to stop in and enjoy lunch . [O] [S] [A]	[O] fabulous [S] good [A] lunch [SSEP] [O] enjoy [S] good [A] lunch
on a hot day it was fabulous to stop in and enjoy lunch . [A] [O] [S]	[A] lunch [O] fabulous [S] good [SSEP] [A] lunch [O] enjoy [S] good
on a hot day it was fabulous to stop in and enjoy lunch . [A] [S] [O]	[A] lunch [S] good [O] fabulous [SSEP] [A] lunch [S] good [O] enjoy
on a hot day it was fabulous to stop in and enjoy lunch . [S] [O] [A]	[S] good [O] fabulous [A] lunch [SSEP] [S] good [O] enjoy [A] lunch
the food is delicious and beautifully prepared along with the friendly and personable service . [O] [A] [S]	[O] delicious [A] food [S] good [SSEP] [O] beautifully prepared [A] food [S] good [SSEP] [O] personable [A] service [S] good
the food is delicious and beautifully prepared along with the friendly and personable service . [O] [S] [A]	[O] delicious [S] good [A] food [SSEP] [O] beautifully prepared [S] good [A] food [SSEP] [O] personable [S] good [A] service
the food is delicious and beautifully prepared along with the friendly and personable service . [A] [O] [S]	[A] food [O] delicious [S] good [SSEP] [A] food [O] beautifully prepared [S] good [SSEP] [A] service [O] personable [S] good
the food is delicious and beautifully prepared along with the friendly and personable service . [A] [S] [O]	[A] food [S] good [O] delicious [SSEP] [A] food [S] good [O] beautifully prepared [SSEP] [A] service [S] good [O] personable
the food is delicious and beautifully prepared along with the friendly and personable service . [S] [O] [A]	[S] good [O] delicious [A] food [SSEP] [S] good [O] beautifully prepared [A] food [SSEP] [S] good [O] personable [A] service
pizza here is consistently good . [O] [A] [S]	[O] good [A] pizza [S] good
pizza here is consistently good . [O] [S] [A]	[O] good [S] good [A] pizza
pizza here is consistently good . [A] [O] [S]	[A] pizza [O] good [S] good
pizza here is consistently good . [A] [S] [O]	[A] pizza [S] good [O] good
pizza here is consistently good . [S] [O] [A]	[S] good [O] good [A] pizza
would n't recomend it for dinner ! [O] [A] [S]	[O] recomend [A] dinner [S] bad
would n't recomend it for dinner ! [O] [S] [A]	[O] recomend [S] bad [A] dinner
would n't recomend it for dinner ! [A] [O] [S]	[A] dinner [O] recomend [S] bad
would n't recomend it for dinner ! [A] [S] [O]	[A] dinner [S] bad [O] recomend
would n't recomend it for dinner ! [S] [O] [A]	[S] bad [O] recomend [A] dinner
sauce was watery and the food did n't have much flavor . [O] [A] [S]	[O] watery [A] sauce [S] bad [SSEP] [O] did n't have much flavor [A] food [S] bad
sauce was watery and the food did n't have much flavor . [O] [S] [A]	[O] watery [S] bad [A] sauce [SSEP] [O] did n't have much flavor [S] bad [A] food
sauce was watery and the food did n't have much flavor . [A] [O] [S]	[A] sauce [O] watery [S] bad [SSEP] [A] food [O] did n't have much flavor [S] bad
sauce was watery and the food did n't have much flavor . [A] [S] [O]	[A] sauce [S] bad [O] watery [SSEP] [A] food [S] bad [O] did n't have much flavor
sauce was watery and the food did n't have much flavor . [S] [O] [A]	[S] bad [O] watery [A] sauce [SSEP] [S] bad [O] did n't have much flavor [A] food
my husband and i enjoy sangria . [O] [A] [S]	[O] enjoy [A] sangria [S] good
my husband and i enjoy sangria . [O] [S] [A]	[O] enjoy [S] good [A] sangria
my husband and i enjoy sangria . [A] [O] [S]	[A] sangria [O] enjoy [S] good
my husband and i enjoy sangria . [A] [S] [O]	[A] sangria [S] good [O] enjoy
my husband and i enjoy sangria . [S] [O] [A]	[S] good [O] enjoy [A] sangria
we both opted for a pasta dish and they were served timely and fresh . [O] [A] [S]	[O] served timely [A] pasta dish [S] good [SSEP] [O] fresh [A] pasta dish [S] good [SSEP] [O] timely [A] served [S] good [SSEP] [O] fresh [A] served [S] good
we both opted for a pasta dish and they were served timely and fresh . [O] [S] [A]	[O] served timely [S] good [A] pasta dish [SSEP] [O] fresh [S] good [A] pasta dish [SSEP] [O] timely [S] good [A] served [SSEP] [O] fresh [S] good [A] served
we both opted for a pasta dish and they were served timely and fresh . [A] [O] [S]	[A] pasta dish [O] served timely [S] good [SSEP] [A] pasta dish [O] fresh [S] good [SSEP] [A] served [O] timely [S] good [SSEP] [A] served [O] fresh [S] good
we both opted for a pasta dish and they were served timely and fresh . [A] [S] [O]	[A] pasta dish [S] good [O] served timely [SSEP] [A] pasta dish [S] good [O] fresh [SSEP] [A] served [S] good [O] timely [SSEP] [A] served [S] good [O] fresh
we both opted for a pasta dish and they were served timely and fresh . [S] [O] [A]	[S] good [O] served timely [A] pasta dish [SSEP] [S] good [O] fresh [A] pasta dish [SSEP] [S] good [O] timely [A] served [SSEP] [S] good [O] fresh [A] served
first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ... [O] [A] [S]	[O] wrong [A] bread [S] bad [SSEP] [O] second [A] glass of wine [S] ok
first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ... [O] [S] [A]	[O] wrong [S] bad [A] bread [SSEP] [O] second [S] ok [A] glass of wine
first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ... [A] [O] [S]	[A] bread [O] wrong [S] bad [SSEP] [A] glass of wine [O] second [S] ok
first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ... [A] [S] [O]	[A] bread [S] bad [O] wrong [SSEP] [A] glass of wine [S] ok [O] second
first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ... [S] [O] [A]	[S] bad [O] wrong [A] bread [SSEP] [S] ok [O] second [A] glass of wine
in an area sadly lacking in decent thai food , this is one of the best spots . [O] [A] [S]	[O] decent [A] thai food [S] good
in an area sadly lacking in decent thai food , this is one of the best spots . [O] [S] [A]	[O] decent [S] good [A] thai food
in an area sadly lacking in decent thai food , this is one of the best spots . [A] [O] [S]	[A] thai food [O] decent [S] good
in an area sadly lacking in decent thai food , this is one of the best spots . [A] [S] [O]	[A] thai food [S] good [O] decent
in an area sadly lacking in decent thai food , this is one of the best spots . [S] [O] [A]	[S] good [O] decent [A] thai food
make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to time square . [O] [A] [S]	[O] delayed [A] reservations [S] bad [SSEP] [O] difficulty [A] seating [S] bad
